algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.4332504145936982,0.45542635658914726,0.40757575757575754
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.5058823529411764,0.5109080188679245,0.5102549889135255,0.5002799552071668
NCA,poisoned_synthetic,(106|2|2),0,0,0.8705882352941177,0.8687290969899666,0.870380739081747,0.8694316436251921
MLKR,poisoned_synthetic,(106|2|2),0,0,0.5529411764705883,0.5882352941176471,0.5564784053156147,0.5106060606060606
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9294117647058824,0.931131019036954,0.9277777777777778,0.9289297658862876
LMNN,poisoned_synthetic,(106|2|2),0,0,0.4823529411764706,0.46893667861409793,0.47101449275362317,0.46571428571428564
MMC_Supervised,wine,(178|13|3),0,0,0.6083916083916084,0.6484892259540147,0.5927842349821729,0.609910567468707
LSML_Supervised,wine,(178|13|3),0,0,0.6783216783216783,0.7235838779956426,0.6631388770028052,0.646790026100371
ITML_Supervised,wine,(178|13|3),0,0,0.9230769230769231,0.9304945054945054,0.935831381733021,0.9289015993028366
NCA,wine,(178|13|3),0,0,0.5454545454545454,0.5503048780487805,0.5578702809849274,0.5461002088004376
MLKR,wine,(178|13|3),0,0,0.7622377622377622,0.757641496314838,0.7715041128084607,0.7580354953756686
LFDA,wine,(178|13|3),0,0,0.8881118881118881,0.8848366013071897,0.8907502374169041,0.886948808840998
LMNN,wine,(178|13|3),0,0,0.8811188811188811,0.8756798756798757,0.886786135219115,0.8797372742200328
NCA,ionosphere,(351|34|2),0,0,0.7508896797153025,0.7440919180049614,0.7031182094741417,0.7122249531835207
LMNN,ionosphere,(351|34|2),0,0,0.7188612099644128,0.8480769230769231,0.605,0.5839845580105321
MMC_Supervised,soybean,(150|4|3),0,0,0.9833333333333333,0.9833333333333334,0.9841269841269842,0.9833229101521784
LSML_Supervised,soybean,(150|4|3),0,0,0.95,0.9521873790166473,0.9541910331384016,0.9517441860465117
ITML_Supervised,soybean,(150|4|3),0,0,0.975,0.9751179751179752,0.9743260590500641,0.9746184738955823
NCA,soybean,(150|4|3),0,0,0.9666666666666667,0.9689922480620154,0.9658119658119658,0.965721819380356
MLKR,soybean,(150|4|3),0,0,0.8666666666666667,0.8687423687423687,0.8666666666666666,0.8674488010702891
LFDA,soybean,(150|4|3),0,0,0.9666666666666667,0.9689922480620154,0.9666666666666667,0.9661959777492513
LMNN,soybean,(150|4|3),0,0,0.975,0.9751928288513655,0.975,0.974996093139553
MMC_Supervised,iris,(150|4|3),0,0,0.975,0.9729729729729729,0.9772727272727272,0.9741507870753936
LSML_Supervised,iris,(150|4|3),0,0,0.975,0.975,0.975609756097561,0.9743547591648859
ITML_Supervised,iris,(150|4|3),0,0,0.9666666666666667,0.9682539682539683,0.9703703703703703,0.9678294573643411
NCA,iris,(150|4|3),0,0,0.9666666666666667,0.9689922480620154,0.9682539682539683,0.9670731707317074
MLKR,iris,(150|4|3),0,0,0.925,0.928951678951679,0.9273504273504273,0.9258807381424431
LFDA,iris,(150|4|3),0,0,0.9333333333333333,0.9407407407407407,0.9365079365079364,0.9323919554985024
LMNN,iris,(150|4|3),0,0,0.9416666666666667,0.9428571428571427,0.9433512224209899,0.9430131546289401
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.46024636058230683,0.46064301552106435,0.45814855875831484
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9529411764705882,0.9552364864864865,0.9506688963210703,0.9524076147816349
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.47058823529411764,0.4702240566037736,0.47203765227021044,0.4631578947368421
NCA,poisoned_synthetic,(106|2|2),0,0,0.9764705882352941,0.9795918367346939,0.9736842105263157,0.9760698198198199
MLKR,poisoned_synthetic,(106|2|2),0,0,0.4588235294117647,0.22941176470588234,0.5,0.31451612903225806
LFDA,poisoned_synthetic,(106|2|2),0,0,0.9529411764705882,0.9583333333333333,0.9512195121951219,0.9526198439241917
LMNN,poisoned_synthetic,(106|2|2),0,0,0.5176470588235295,0.7559523809523809,0.5119047619047619,0.3618384911188427
MMC_Supervised,wine,(178|13|3),0,0,0.8111888111888111,0.8502167615622814,0.7946589882565492,0.8021435406698564
LSML_Supervised,wine,(178|13|3),0,0,0.5594405594405595,0.6029411764705883,0.6178421952171397,0.5603362477448006
ITML_Supervised,wine,(178|13|3),0,0,0.9230769230769231,0.9335701981050818,0.9192331836399633,0.925240206947524
NCA,wine,(178|13|3),0,0,0.6643356643356644,0.5937081659973226,0.630733437803436,0.5827913781674079
MLKR,wine,(178|13|3),0,0,0.6853146853146853,0.6706034706034706,0.6604905119942713,0.6630301709441927
LFDA,wine,(178|13|3),0,0,0.8531468531468531,0.8759958071278827,0.849613654711106,0.8562535202181479
LMNN,wine,(178|13|3),0,0,0.951048951048951,0.9568424356559949,0.9479035278828881,0.9512320043293494
NCA,ionosphere,(351|34|2),0,0,0.8718861209964412,0.8634597268016957,0.8475788288288288,0.8545548654244308
LMNN,ionosphere,(351|34|2),0,0,0.8113879003558719,0.8380774962742176,0.7506629834254144,0.7693189386781493
MMC_Supervised,soybean,(150|4|3),0,0,0.975,0.9761904761904763,0.975609756097561,0.9749960931395533
LSML_Supervised,soybean,(150|4|3),0,0,0.9166666666666666,0.9208666708666708,0.9236467236467236,0.9196066719585452
ITML_Supervised,soybean,(150|4|3),0,0,0.975,0.9743260590500641,0.9751179751179752,0.9746184738955823
NCA,soybean,(150|4|3),0,0,0.9583333333333334,0.9589326662497394,0.9594820384294068,0.9583268218992552
MLKR,soybean,(150|4|3),0,0,0.925,0.9316123188405797,0.923076923076923,0.9224523612261807
LFDA,soybean,(150|4|3),0,0,0.975,0.9757936507936508,0.975609756097561,0.9756061282165699
LMNN,soybean,(150|4|3),0,0,0.9333333333333333,0.9432624113475176,0.9349593495934959,0.9329562120259794
MMC_Supervised,iris,(150|4|3),0,0,0.9416666666666667,0.9457516339869282,0.9403846153846155,0.9405855492882084
LSML_Supervised,iris,(150|4|3),0,0,0.9583333333333334,0.9556306306306306,0.959188326493388,0.9564455003111036
ITML_Supervised,iris,(150|4|3),0,0,0.975,0.974704202366381,0.975839475839476,0.9751724137931035
NCA,iris,(150|4|3),0,0,0.975,0.9772727272727272,0.9743589743589745,0.9749019607843138
MLKR,iris,(150|4|3),0,0,0.975,0.975839475839476,0.974704202366381,0.9751724137931035
LFDA,iris,(150|4|3),0,0,0.9583333333333334,0.9582256675279931,0.9570999570999571,0.9575611066344344
LMNN,iris,(150|4|3),0,0,0.975,0.9761904761904763,0.9743589743589745,0.9743209876543211
MMC_Supervised,poisoned_synthetic,(106|2|2),0,0,0.9647058823529412,0.9680851063829787,0.9634146341463414,0.9645291417443317
LSML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.4823529411764706,0.2411764705882353,0.5,0.3253968253968254
ITML_Supervised,poisoned_synthetic,(106|2|2),0,0,0.43529411764705883,0.4364501679731243,0.4370842572062084,0.434589800443459
NCA,poisoned_synthetic,(106|2|2),0,0,0.9764705882352941,0.9787234042553192,0.975,0.9763099219620959
MLKR,poisoned_synthetic,(106|2|2),0,0,0.8941176470588236,0.8924191750278707,0.8941769316909294,0.893171344784248
