algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
LFDA,wine,(178|13|3),0,0.1,0.9101123595505618,0.9072345072345073,0.9274099883855982,0.9154561913182603
LFDA,wine,(178|13|3),0,0.2,0.9662921348314607,0.9691614691614693,0.9669312169312169,0.9674197431382497
LFDA,wine,(178|13|3),0,0.3,0.9887640449438202,0.9901960784313726,0.98989898989899,0.9898966704936853
LMNN,wine,(178|13|3),0,0,0.9550561797752809,0.9585858585858587,0.9543266769073222,0.9557098765432098
LMNN,wine,(178|13|3),0,0.1,0.9213483146067416,0.91698595146871,0.926627854164086,0.9207868963188113
LMNN,wine,(178|13|3),0,0.2,0.8651685393258427,0.8831018518518517,0.8613425925925925,0.8663029728020241
LMNN,wine,(178|13|3),0,0.3,0.9213483146067416,0.9213050811722537,0.9306547619047619,0.925235794801012
RCA_Supervised,breast_cancer,(699|9|2),0,0,0.9142857142857143,0.9168230143839899,0.8895382817066044,0.9010516792943571
RCA_Supervised,breast_cancer,(699|9|2),0,0.1,0.9171428571428571,0.9110376759643031,0.9021040327293981,0.9063125928797571
RCA_Supervised,breast_cancer,(699|9|2),0,0.2,0.9257142857142857,0.927728267667292,0.9031461833185971,0.9138257575757576
RCA_Supervised,breast_cancer,(699|9|2),0,0.3,0.9057142857142857,0.9137024435508816,0.8804444444444445,0.8933901918976546
MMC_Supervised,breast_cancer,(699|9|2),0,0,0.9714285714285714,0.9642454954954955,0.9742594190394018,0.9688888888888889
MMC_Supervised,breast_cancer,(699|9|2),0,0.1,0.9628571428571429,0.9536210317460317,0.9657499363381716,0.9591836734693877
MMC_Supervised,breast_cancer,(699|9|2),0,0.2,0.9342857142857143,0.9353999405292893,0.9195408473908527,0.9266387802899818
MMC_Supervised,breast_cancer,(699|9|2),0,0.3,0.9571428571428572,0.9496762387387387,0.9576483650299058,0.9534157357208137
LSML_Supervised,breast_cancer,(699|9|2),0,0,0.96,0.9559605982168536,0.9559605982168536,0.9559605982168536
LSML_Supervised,breast_cancer,(699|9|2),0,0.1,0.9628571428571429,0.9557971014492754,0.9614650966582297,0.9585349627725983
LSML_Supervised,breast_cancer,(699|9|2),0,0.2,0.96,0.9561262132445113,0.9561262132445113,0.9561262132445114
