algorithm,dataset_name,dataset_dimensions(elements|features|classes),PCA,adversarial_noise,accuracy,precision,recall,f1
ITML_Supervised,image_segment,(210|19|7),4,0,0.7047619047619048,0.6620718462823726,0.6678391053391053,0.6592474827768946
ITML_Supervised,image_segment,(210|19|7),4,0.1,0.6095238095238096,0.6196195144724557,0.5973839535814325,0.5934121016827785
ITML_Supervised,image_segment,(210|19|7),4,0.2,0.7142857142857143,0.7393698893698895,0.7318322200675142,0.6997294541158637
ITML_Supervised,image_segment,(210|19|7),4,0.3,0.6857142857142857,0.7545454545454545,0.7009294068504595,0.6633809133809133
NCA,image_segment,(210|19|7),2,0,0.5238095238095238,0.653096766397259,0.5634378153175146,0.5274582560296847
NCA,image_segment,(210|19|7),2,0.1,0.5047619047619047,0.512579744816587,0.5167748917748918,0.49491685563114135
NCA,image_segment,(210|19|7),2,0.2,0.4095238095238095,0.46370496399100525,0.4457013574660634,0.4419995109436104
NCA,image_segment,(210|19|7),2,0.3,0.44761904761904764,0.4720645834091212,0.4592379842379843,0.4479988741908247
NCA,image_segment,(210|19|7),4,0,0.6666666666666666,0.6945134575569358,0.6808762978875761,0.661050061050061
NCA,image_segment,(210|19|7),4,0.1,0.7714285714285715,0.8025898078529659,0.7791800930898675,0.7776087327811466
NCA,image_segment,(210|19|7),4,0.2,0.7142857142857143,0.7251648351648352,0.7045216688073832,0.6928706168457721
NCA,image_segment,(210|19|7),4,0.3,0.6952380952380952,0.7261904761904762,0.6952423074492955,0.6699822721434036
MLKR,image_segment,(210|19|7),2,0,0.4666666666666667,0.5512355752017406,0.4773667159171361,0.4879818594104309
MLKR,image_segment,(210|19|7),2,0.1,0.3904761904761905,0.36489652782413085,0.43151927437641724,0.36829845643366516
MLKR,image_segment,(210|19|7),2,0.2,0.4857142857142857,0.5390899571704526,0.49540543490123323,0.4849627598074803
